date	open	high	low	close	volume
1594305480000	1379.94	1379.94	1379.94	1379.94	311
1594305600000	1376.65	1376.65	1376.65	1376.65	498
1594305660000	1376.04	1376.04	1375.98	1375.98	663
1594305720000	1374.08	1374.66	1374.08	1374.66	619
1594305780000	1376.49	1376.94	1376.49	1376.94	343
1594305840000	1374.48	1374.48	1374.3	1374.3	355
1594305900000	1371.06	1372.08	1370.16	1371.465	1324
1594305960000	1368.845	1370.3	1368.08	1370.3	675
1594306020000	1373.99	1375.01	1373.99	1374.64	529
1594306080000	1377.13	1377.13	1377.13	1377.13	258
1594306140000	1377.86	1377.86	1375.05	1375.31	570
1594306260000	1376.45	1377.65	1376.45	1377.65	335
1594306320000	1375.27	1375.27	1374.73	1374.73	372
1594306380000	1375.795	1375.795	1375.795	1375.795	776
1594306440000	1374.9	1375.18	1374.9	1375.18	473
1594306500000	1375.455	1375.455	1375.45	1375.45	1656
1594306560000	1370.56	1371.185	1370.51	1371.185	706
1594306620000	1366.64	1366.64	1366.64	1366.64	601
1594306680000	1366.98	1368.675	1366.95	1366.95	1259
1594306740000	1364.35	1364.35	1360.01	1360.92	2206
1594306800000	1360.42	1361.8	1360.42	1361.11	1085
1594306860000	1359.0	1360.58	1358.0	1359.23	1667
1594306920000	1361.83	1363.0	1359.09	1359.09	1217
1594306980000	1359.05	1359.05	1357.49	1357.62	1038
1594307040000	1357.4	1357.56	1357.4	1357.56	544
1594307100000	1355.61	1356.855	1354.14	1354.93	1022
1594307160000	1352.0	1355.53	1351.54	1355.53	1391
1594307220000	1358.58	1359.7	1358.58	1358.59	1005
1594307280000	1358.01	1361.14	1358.01	1361.14	853
1594307340000	1362.24	1363.7	1361.91	1363.01	2431
1594307400000	1363.02	1366.85	1363.02	1366.85	1002
1594307460000	1366.805	1367.22	1366.71	1367.22	764
1594307520000	1366.3	1366.55	1365.21	1365.21	811
1594307580000	1365.01	1365.01	1365.01	1365.01	469
1594307640000	1361.0	1361.765	1361.0	1361.765	492
1594307700000	1363.69	1363.69	1363.69	1363.69	204
1594307760000	1363.02	1363.02	1362.75	1362.75	816
1594307880000	1360.48	1361.77	1360.31	1361.77	905
1594307940000	1357.43	1358.65	1357.43	1358.65	333
1594308000000	1355.55	1355.88	1355.55	1355.88	778
1594308060000	1353.195	1359.82	1353.195	1359.82	2195
1594308120000	1360.315	1360.965	1358.645	1360.965	1025
1594308180000	1360.92	1364.26	1360.92	1364.26	1921
1594308240000	1363.7	1364.94	1363.425	1364.94	894
1594308300000	1364.935	1364.935	1362.56	1362.76	1133
1594308360000	1361.09	1361.09	1360.9	1360.9	414
1594308420000	1361.58	1362.045	1359.225	1362.045	1847
1594308480000	1361.91	1365.305	1361.91	1365.305	808
1594308540000	1365.485	1366.65	1365.485	1365.51	1070
1594308600000	1364.69	1368.43	1364.26	1368.43	1163
1594308660000	1368.07	1370.98	1368.07	1370.73	1721
1594308720000	1370.46	1371.98	1370.46	1370.85	1405
1594308780000	1370.59	1370.72	1368.93	1370.17	1483
1594308840000	1369.25	1373.38	1369.25	1372.36	1331
1594308900000	1372.25	1373.78	1372.06	1373.685	1611
1594308960000	1372.5	1375.0	1372.5	1375.0	1641
1594309020000	1374.27	1376.01	1374.27	1375.49	1083
1594309080000	1374.04	1374.375	1373.51	1373.62	1186
1594309140000	1373.65	1373.65	1372.285	1372.64	754
1594309200000	1370.295	1371.77	1370.295	1371.77	826
1594309260000	1372.04	1372.04	1369.36	1369.38	850
1594309320000	1369.77	1369.77	1368.04	1368.04	407
1594309380000	1368.0	1368.0	1368.0	1368.0	182
1594309440000	1366.97	1366.97	1365.03	1365.44	1206
1594309500000	1367.12	1368.32	1367.065	1368.32	1727
1594309560000	1369.51	1370.97	1369.51	1370.64	718
1594309620000	1370.21	1370.21	1370.21	1370.21	160
1594309680000	1369.155	1369.155	1369.155	1369.155	252
1594309740000	1371.41	1372.54	1371.41	1372.54	639
1594309800000	1373.5	1374.715	1373.5	1374.715	739
1594309920000	1374.62	1374.62	1374.39	1374.39	352
1594309980000	1375.42	1375.49	1375.42	1375.49	432
1594310040000	1374.13	1374.13	1374.13	1374.13	262
1594310100000	1376.0	1378.0	1376.0	1378.0	483
1594310160000	1378.01	1378.01	1377.075	1378.01	866
1594310220000	1377.25	1377.25	1377.24	1377.24	204
1594310280000	1375.715	1375.715	1375.715	1375.715	193
1594310340000	1375.34	1375.34	1374.11	1374.11	230
1594310460000	1376.54	1376.8	1376.45	1376.45	318
1594310520000	1376.44	1376.44	1376.01	1376.01	312
1594310580000	1377.12	1378.3	1377.12	1377.835	301
1594310640000	1377.555	1378.38	1377.555	1378.38	619
1594310700000	1378.515	1378.515	1378.515	1378.515	243
1594310820000	1378.99	1379.81	1378.98	1379.81	1116
1594310880000	1379.4	1379.99	1379.4	1379.8	841
1594310940000	1379.46	1379.49	1377.605	1379.49	762
1594311000000	1378.98	1378.98	1377.94	1378.765	700
1594311060000	1380.715	1382.93	1380.715	1382.93	548
1594311120000	1381.79	1382.58	1381.79	1381.845	300
1594311180000	1382.02	1382.02	1381.54	1381.54	830
1594311240000	1380.96	1380.96	1380.96	1380.96	396
1594311300000	1376.5	1376.5	1374.2	1374.2	334
1594311540000	1376.3	1376.3	1376.3	1376.3	102
1594311660000	1375.78	1376.76	1375.78	1376.76	257
1594311960000	1376.43	1376.43	1376.08	1376.08	280
1594312020000	1374.59	1374.59	1373.72	1373.72	623
1594312080000	1369.27	1369.27	1369.27	1369.27	125
1594312380000	1372.055	1372.055	1372.055	1372.055	397
1594312440000	1371.01	1371.01	1371.01	1371.01	186
1594312500000	1371.99	1371.99	1371.99	1371.99	185
1594312560000	1370.48	1370.48	1370.48	1370.48	294
1594312860000	1370.76	1370.915	1370.76	1370.915	357
1594312980000	1373.755	1373.755	1373.755	1373.755	259
1594313100000	1373.45	1373.45	1373.39	1373.39	293
1594313280000	1378.49	1379.2	1378.49	1379.2	678
1594313400000	1378.32	1378.32	1377.98	1377.98	309
1594313460000	1379.97	1379.97	1379.845	1379.845	445
1594313520000	1379.29	1379.625	1379.29	1379.625	320
1594313760000	1376.34	1376.34	1376.34	1376.34	164
1594313880000	1374.58	1374.68	1374.58	1374.68	404
1594314000000	1376.39	1376.39	1376.05	1376.05	245
1594314060000	1376.15	1376.15	1376.15	1376.15	107
1594314120000	1376.0	1376.0	1376.0	1376.0	265
1594314180000	1376.775	1376.775	1376.775	1376.775	202
1594314240000	1377.99	1377.99	1377.99	1377.99	2828
1594314300000	1378.22	1378.22	1378.22	1378.22	128
1594314420000	1375.75	1375.75	1375.75	1375.75	260
1594314480000	1376.75	1376.75	1376.75	1376.75	413
1594314540000	1377.1	1377.115	1377.1	1377.115	317
1594314720000	1377.56	1377.56	1377.56	1377.56	283
1594314780000	1378.255	1378.255	1378.255	1378.255	311
1594314840000	1378.0	1378.0	1378.0	1378.0	117
1594314960000	1377.3	1378.3	1377.07	1378.3	570
1594315020000	1378.995	1378.995	1378.995	1378.995	107
1594315080000	1380.0	1380.0	1380.0	1380.0	511
1594315140000	1381.0	1381.51	1381.0	1381.51	430
1594315200000	1381.99	1381.99	1379.9	1379.9	203
1594315260000	1378.03	1378.03	1377.49	1377.49	436
1594315320000	1377.16	1377.53	1377.06	1377.06	319
1594315380000	1376.99	1376.99	1374.58	1375.0	957
1594315560000	1376.705	1376.705	1376.11	1376.11	301
1594315680000	1376.5	1376.5	1376.5	1376.5	260
1594315740000	1377.62	1377.62	1377.62	1377.62	205
1594315800000	1376.21	1376.21	1376.21	1376.21	181
1594315980000	1377.9	1378.01	1377.845	1377.845	658
1594316100000	1377.73	1377.73	1377.73	1377.73	257
1594316220000	1379.47	1379.47	1379.47	1379.47	104
1594316340000	1378.09	1378.09	1377.38	1377.38	761
1594316400000	1379.01	1379.01	1379.01	1379.01	113
1594316460000	1379.49	1379.49	1379.49	1379.49	176
1594316520000	1378.72	1378.72	1376.78	1377.525	1732
1594316580000	1377.41	1377.41	1377.41	1377.41	287
1594316640000	1377.19	1377.19	1376.52	1376.52	498
1594316700000	1378.49	1378.49	1377.33	1377.33	271
1594316760000	1375.7	1375.7	1375.0	1375.0	767
1594316940000	1376.99	1376.99	1376.99	1376.99	106
1594317120000	1375.915	1375.915	1375.915	1375.915	106
1594317180000	1374.77	1374.77	1372.94	1373.18	643
1594317240000	1373.98	1373.98	1373.98	1373.98	182
1594317360000	1373.79	1373.79	1373.79	1373.79	256
1594317480000	1375.0	1375.0	1375.0	1375.0	151
1594317720000	1376.11	1376.11	1376.11	1376.11	115
1594317780000	1375.56	1375.56	1375.56	1375.56	543
1594317840000	1375.39	1375.765	1375.39	1375.765	285
1594317900000	1375.73	1375.73	1375.73	1375.73	102
1594317960000	1376.98	1376.98	1376.98	1376.98	124
1594318440000	1378.69	1378.69	1378.69	1378.69	248
1594318500000	1378.6	1378.6	1378.6	1378.6	113
1594318740000	1378.77	1380.0	1378.77	1380.0	685
1594318860000	1382.44	1383.12	1382.44	1383.12	660
1594318920000	1383.13	1383.13	1383.06	1383.06	423
1594318980000	1384.99	1386.36	1384.99	1386.36	566
1594319040000	1386.0	1387.36	1386.0	1387.36	616
1594319100000	1388.33	1389.9	1388.23	1389.9	975
1594319160000	1388.19	1388.19	1387.42	1387.42	396
1594319280000	1388.98	1389.0	1388.98	1389.0	352
1594319340000	1388.0	1388.0	1388.0	1388.0	610
1594319400000	1387.84	1387.84	1387.84	1387.84	388
1594319460000	1386.7	1388.0	1386.7	1387.29	798
1594319520000	1385.58	1385.73	1385.58	1385.73	537
1594319580000	1387.21	1388.12	1387.21	1388.12	262
1594319700000	1388.98	1388.98	1388.98	1388.98	173
1594319760000	1388.32	1388.32	1387.38	1387.38	248
1594319820000	1388.66	1388.66	1387.02	1387.02	363
1594319880000	1387.49	1387.8	1386.47	1386.47	333
1594320000000	1386.99	1387.4	1386.99	1387.02	406
1594320120000	1388.99	1388.99	1388.99	1388.99	347
1594320180000	1387.72	1387.72	1387.72	1387.72	231
1594320240000	1390.0	1391.44	1389.1	1391.44	3619
1594320300000	1392.24	1392.685	1392.24	1392.685	592
1594320360000	1393.16	1393.76	1393.16	1393.76	372
1594320420000	1394.78	1396.46	1394.78	1396.46	787
1594320480000	1395.01	1395.01	1395.01	1395.01	317
1594320540000	1397.7	1397.7	1397.05	1397.05	291
1594320600000	1396.28	1396.28	1396.28	1396.28	495
1594320660000	1398.66	1398.88	1398.66	1398.88	276
1594320780000	1394.77	1394.77	1392.52	1393.79	606
1594320840000	1393.99	1394.23	1393.99	1394.23	477
1594320960000	1396.36	1396.36	1396.36	1396.36	532
1594321020000	1394.11	1394.11	1394.11	1394.11	423
1594321080000	1393.89	1393.89	1392.31	1392.98	381
1594321140000	1392.97	1395.93	1392.97	1395.93	776
1594321260000	1395.79	1395.79	1395.48	1395.48	507
1594321320000	1397.27	1397.8	1397.27	1397.8	255
1594321380000	1395.05	1395.05	1395.05	1395.05	146
1594321440000	1396.39	1396.39	1396.39	1396.39	100
1594321500000	1397.54	1397.99	1397.54	1397.6	438
1594321560000	1398.735	1399.285	1398.735	1399.18	1292
1594321620000	1399.155	1399.49	1398.23	1399.13	1334
1594321680000	1399.14	1399.14	1398.6	1398.65	1081
1594321740000	1398.565	1398.675	1397.63	1397.63	1269
1594321800000	1398.15	1398.15	1397.34	1397.34	597
1594321860000	1398.31	1398.31	1398.31	1398.31	399
1594321920000	1397.68	1398.2	1397.68	1398.2	445
1594321980000	1398.37	1398.37	1398.37	1398.37	101
1594322040000	1399.47	1399.74	1399.47	1399.74	883
1594322100000	1401.24	1401.72	1401.24	1401.72	587
1594322160000	1401.05	1401.5	1401.05	1401.5	870
1594322220000	1396.19	1396.19	1396.19	1396.19	310
1594322280000	1394.72	1394.92	1394.72	1394.92	219
1594322340000	1396.28	1396.28	1396.28	1396.28	208
1594322400000	1396.31	1396.76	1396.31	1396.76	317
1594322520000	1390.89	1390.89	1387.75	1387.75	524
1594322580000	1388.94	1388.94	1385.01	1386.28	2369
1594322640000	1386.98	1386.98	1386.98	1386.98	305
1594322700000	1387.69	1388.95	1387.69	1388.95	416
1594322760000	1390.53	1390.53	1390.38	1390.38	427
1594322880000	1387.95	1387.95	1387.95	1387.95	236
1594322940000	1388.34	1388.34	1382.53	1382.53	1061
1594323000000	1385.19	1385.19	1385.19	1385.19	245
1594323060000	1383.96	1383.96	1383.96	1383.96	167
1594323120000	1382.07	1382.21	1380.0	1380.38	2987
1594323180000	1380.0	1381.67	1380.0	1381.67	734
1594323240000	1380.96	1383.77	1380.96	1383.1	1458
1594323300000	1382.695	1382.695	1382.07	1382.59	491
1594323360000	1384.14	1384.14	1384.14	1384.14	280
1594323420000	1383.47	1383.99	1383.47	1383.56	428
1594323480000	1384.59	1388.99	1384.59	1388.99	1011
1594323540000	1387.8	1388.55	1387.8	1388.55	628
1594323600000	1388.42	1391.78	1388.42	1391.63	1509
1594323660000	1390.27	1390.27	1388.1	1388.1	725
1594323720000	1387.33	1387.91	1387.33	1387.91	419
1594323780000	1388.57	1390.53	1388.57	1389.67	646
1594323840000	1391.13	1391.13	1390.78	1390.78	460
1594323900000	1390.42	1391.11	1390.42	1391.11	239
1594323960000	1392.24	1392.24	1392.24	1392.24	310
1594324020000	1392.85	1393.24	1392.85	1393.24	406
1594324080000	1393.82	1394.64	1393.82	1394.57	550
1594324140000	1397.06	1397.84	1397.06	1397.84	467
1594324200000	1396.85	1396.85	1395.39	1395.39	1509
1594324260000	1393.51	1394.27	1393.51	1394.24	654
1594324320000	1393.64	1396.45	1393.64	1396.45	731
1594324380000	1396.2	1398.21	1395.99	1397.305	980
1594324440000	1397.99	1397.99	1396.52	1397.32	1424
1594324500000	1396.825	1397.07	1395.36	1395.36	941
1594324560000	1394.49	1394.54	1390.42	1391.425	1421
1594324620000	1393.45	1394.66	1393.45	1394.455	811
1594324680000	1393.34	1394.69	1393.34	1394.52	704
1594324740000	1394.26	1394.37	1394.0	1394.08	895
1594324800000	1394.38	1394.75	1394.09	1394.09	1366
1594325340000	1393.93	1393.93	1393.93	1393.93	104
1594328520000	1396.7	1396.7	1396.7	1396.7	100
